id,carat,cut,color,clarity,depth,table,x,y,z,price
185596,0.31,Premium,G,VS2,61.8,58.0,4.4,4.36,2.7,698
131462,0.35,Premium,F,VS1,60.9,58.0,4.53,4.5,2.75,956
58837,0.51,Good,G,VVS1,63.7,59.0,5.07,5.1,3.24,2101
25377,1.06,Fair,I,VS2,64.9,59.0,6.4,6.33,4.13,4065
179986,1.5,Very Good,G,SI2,62.9,60.0,7.24,7.31,4.57,7728
145366,1.01,Ideal,G,VS2,62.0,56.0,6.43,6.46,4.0,5800
65892,1.27,Very Good,J,SI1,61.0,60.0,6.99,6.95,4.25,5672
26900,1.01,Ideal,E,SI2,61.8,56.0,6.45,6.48,3.99,4372
95902,0.53,Ideal,H,SI1,61.8,55.0,5.2,5.23,3.23,1208
41137,0.5,Fair,G,VVS2,65.7,60.0,5.01,4.84,3.21,1569
88074,0.8,Ideal,H,VS1,62.2,57.0,5.92,5.95,3.69,3171
76007,2.02,Very Good,G,SI1,60.4,60.0,8.16,8.21,4.94,17685
42069,0.9,Premium,F,SI2,61.9,56.0,6.14,6.2,3.81,3392
140378,1.0,Good,D,SI1,64.1,58.0,6.32,6.3,4.05,4900
24182,0.3,Good,D,SI1,63.3,55.0,4.28,4.31,2.71,552
175962,0.7,Very Good,G,VS2,62.0,55.0,5.71,5.74,3.55,2563
44664,0.7,Very Good,I,VS2,63.3,56.0,5.64,5.6,3.56,2351
29153,0.32,Ideal,H,SI1,61.2,56.0,4.43,4.41,2.7,576
64231,1.13,Ideal,J,SI1,62.0,55.0,6.69,6.71,4.15,4883
97988,1.01,Premium,G,VS2,61.9,58.0,6.44,6.42,3.98,4166
19262,0.39,Ideal,G,SI1,62.0,55.0,4.69,4.65,2.9,855
69654,0.9,Ideal,H,SI1,60.7,55.0,6.25,6.23,3.79,3679
27914,1.7,Good,G,VS1,63.9,59.0,7.51,7.58,4.82,17114
154940,0.31,Ideal,F,VVS2,61.3,56.0,4.37,4.39,2.69,694
46327,0.3,Ideal,F,VS1,62.2,55.0,4.28,4.31,2.67,617
164783,0.41,Very Good,F,SI1,63.2,58.0,4.73,4.7,2.98,903
139117,0.3,Ideal,F,VS1,62.7,57.0,4.28,4.31,2.69,570
124468,0.32,Ideal,F,VVS1,62.3,54.0,4.36,4.38,2.73,702
120015,0.51,Very Good,G,SI1,62.8,56.0,5.12,5.09,3.2,1260
133581,1.1,Very Good,I,SI1,60.2,56.5,6.7,6.66,4.02,4659
175229,0.92,Ideal,E,VS1,61.9,57.0,6.21,6.26,3.86,5722
49358,0.9,Ideal,F,SI2,61.6,55.0,6.2,6.23,3.83,3981
105294,0.52,Premium,D,VS2,61.4,58.0,5.19,5.15,3.18,1777
169565,0.9,Very Good,D,SI2,63.9,58.0,5.97,6.01,3.83,3584
56721,0.3,Premium,D,VS2,61.9,58.0,4.32,4.31,2.67,710
176916,1.27,Very Good,H,VS1,60.9,58.0,6.97,7.03,4.26,7928
71519,1.5,Ideal,G,VS1,62.8,55.0,7.32,7.28,4.58,14103
176743,0.4,Very Good,D,SI1,62.8,57.0,4.75,4.68,2.96,774
118600,1.53,Premium,G,SI2,63.0,59.0,7.33,7.3,4.6,9225
99666,1.6,Ideal,G,VS2,61.4,55.0,7.54,7.5,4.62,14424
129691,0.58,Very Good,G,SI1,63.4,57.0,5.33,5.28,3.36,1698
166308,1.23,Ideal,G,VS1,62.8,57.0,6.86,6.8,4.28,9208
126976,0.53,Premium,D,SI2,60.6,56.0,5.28,5.24,3.19,1226
186700,0.4,Ideal,G,SI1,61.6,55.0,4.79,4.77,2.95,612
119473,0.4,Ideal,F,VS2,62.1,56.0,4.77,4.74,2.95,975
4105,0.32,Very Good,D,SI1,61.4,61.0,4.39,4.43,2.71,571
96466,0.41,Ideal,G,VS2,61.1,57.0,4.82,4.78,2.94,959
123810,0.96,Ideal,F,SI1,60.2,57.0,6.35,6.38,3.84,4191
140894,0.35,Ideal,G,VS1,62.4,57.0,4.51,4.48,2.81,906
1039,0.49,Very Good,E,VVS2,63.2,56.0,4.97,5.0,3.15,2263
67924,1.05,Very Good,F,SI2,63.5,58.0,6.43,6.46,4.08,4379
102192,0.24,Premium,E,VS2,60.2,59.0,4.05,4.02,2.44,601
141742,0.71,Very Good,E,SI2,59.0,60.0,5.87,5.9,3.47,2290
146345,0.51,Ideal,E,VS1,60.9,57.0,5.17,5.2,3.16,1697
77183,0.9,Premium,E,VS2,61.7,61.0,6.07,6.03,3.73,4310
148226,0.33,Ideal,E,VS2,60.4,57.0,4.45,4.49,2.7,723
83608,0.55,Premium,E,VS2,60.5,58.0,5.27,5.31,3.2,1819
111159,1.5,Premium,H,SI2,62.6,60.0,7.3,7.24,4.54,7310
187560,0.71,Very Good,F,SI1,62.7,57.0,5.68,5.7,3.57,2583
113408,0.41,Very Good,F,VS1,63.0,58.0,4.74,4.72,2.98,891
163354,1.06,Ideal,F,VS2,62.0,54.0,6.57,6.54,4.07,9828
24268,0.6,Very Good,D,SI1,60.9,59.0,5.43,5.46,3.32,1785
38722,0.52,Premium,E,SI1,60.1,59.0,5.23,5.18,3.13,1448
65003,0.71,Very Good,F,SI1,63.4,56.0,5.7,5.67,3.6,2358
131886,0.3,Very Good,E,SI2,62.8,58.0,4.26,4.28,2.68,394
177818,0.5,Ideal,G,VS1,61.7,56.0,5.09,5.12,3.15,1815
89825,0.34,Ideal,E,VS2,62.1,57.0,4.44,4.46,2.76,726
118637,1.51,Premium,H,VS2,62.4,59.0,7.33,7.28,4.56,10758
37913,0.38,Ideal,F,SI1,60.6,54.0,4.72,4.68,2.84,874
99353,0.72,Ideal,D,SI1,61.3,57.0,5.81,5.79,3.56,2822
50245,0.31,Very Good,D,SI1,63.3,60.0,4.35,4.31,2.74,571
122024,0.9,Very Good,D,SI1,61.8,56.0,6.19,6.22,3.83,3668
151709,1.52,Ideal,E,VS2,62.2,57.0,7.37,7.31,4.57,14348
180104,0.54,Ideal,G,VVS2,62.0,56.0,5.23,5.2,3.24,2012
12005,1.01,Ideal,G,SI1,61.6,56.0,6.43,6.46,3.97,4827
78397,2.0,Ideal,H,SI1,60.9,55.0,8.09,8.15,4.93,15762
28156,1.68,Premium,I,VS1,61.4,58.0,7.72,7.65,4.72,10913
62227,0.37,Very Good,G,VS1,63.0,54.0,4.59,4.57,2.89,787
174222,0.51,Premium,E,SI1,60.8,59.0,5.22,5.19,3.16,1440
64304,0.31,Ideal,F,VS1,61.2,57.0,4.36,4.4,2.68,621
161509,0.74,Ideal,D,SI2,61.9,56.0,5.78,5.82,3.59,2657
68062,0.4,Premium,D,SI2,62.5,58.0,4.73,4.7,2.95,832
175460,0.71,Premium,D,VS1,62.4,58.0,5.73,5.7,3.57,3620
72876,0.53,Ideal,G,VVS2,62.0,56.0,5.19,5.24,3.23,1946
182293,1.57,Premium,D,SI1,60.9,60.0,7.48,7.45,4.54,11711
40099,0.75,Ideal,F,SI2,61.7,56.0,5.9,5.87,3.63,2673
186999,0.28,Very Good,F,SI1,62.2,57.0,4.19,4.24,2.62,477
61835,0.33,Ideal,G,VVS2,61.4,56.0,4.51,4.48,2.77,965
15659,0.9,Very Good,D,SI2,62.8,58.0,6.11,6.08,3.83,3847
119668,0.7,Very Good,I,SI1,63.0,56.0,5.67,5.65,3.57,2747
58345,0.3,Premium,F,VS2,62.8,58.0,4.31,4.28,2.69,828
38990,1.13,Premium,D,SI2,62.4,61.0,6.63,6.58,4.12,4520
9123,1.58,Premium,H,VS1,62.9,60.0,7.41,7.47,4.67,11946
107895,1.7,Ideal,G,VS2,62.6,57.0,7.59,7.55,4.75,14766
164370,0.3,Ideal,F,VVS1,62.1,54.0,4.34,4.36,2.7,829
83088,0.81,Ideal,H,SI1,62.0,56.0,6.0,5.97,3.71,2815
105230,1.01,Ideal,D,SI1,60.9,57.0,6.49,6.47,3.95,6352
85729,0.31,Ideal,D,VS2,62.2,54.0,4.36,4.31,2.7,942
40783,0.38,Ideal,E,SI2,60.5,56.0,4.73,4.7,2.85,827
175900,0.32,Ideal,G,VVS1,61.8,57.0,4.39,4.41,2.72,868
169191,0.72,Ideal,J,VS2,61.6,57.0,5.72,5.77,3.54,2041
1551,0.25,Premium,E,VVS2,60.7,59.0,4.13,4.16,2.51,576
153166,2.09,Premium,F,SI2,60.9,58.0,8.21,8.27,5.0,16954
118515,0.7,Premium,E,VS2,61.4,58.0,5.71,5.67,3.48,3248
73737,0.72,Very Good,E,VS1,63.2,55.0,5.76,5.71,3.62,3107
3902,0.53,Ideal,E,VS2,62.3,54.0,5.21,5.23,3.25,1678
77017,1.0,Good,G,SI2,63.9,58.0,6.38,6.34,4.07,4229
23398,1.03,Ideal,I,SI2,61.8,59.0,6.47,6.42,3.99,3457
2441,0.41,Ideal,E,VS2,61.1,56.0,4.82,4.79,2.94,999
36319,1.04,Ideal,H,SI2,62.4,57.0,6.42,6.38,3.99,4004
126032,1.5,Premium,H,I1,60.2,60.0,7.32,7.28,4.41,6300
91767,0.34,Ideal,H,IF,61.7,55.0,4.51,4.54,2.79,891
120576,0.34,Ideal,I,SI1,61.8,57.0,4.5,4.51,2.79,459
5643,0.31,Ideal,D,VS2,62.4,55.0,4.32,4.36,2.71,734
184883,2.03,Ideal,H,SI2,62.7,56.0,8.12,8.06,5.06,15730
115910,0.31,Ideal,D,VS2,61.9,56.0,4.34,4.31,2.68,942
144925,1.5,Premium,H,SI2,61.5,59.0,7.34,7.3,4.5,7231
9900,0.36,Ideal,I,VS1,61.7,56.0,4.59,4.62,2.85,727
184044,0.31,Ideal,G,VS1,62.3,56.0,4.32,4.35,2.7,729
136852,0.6,Premium,D,VS2,60.4,60.0,5.49,5.52,3.32,2316
3005,1.22,Ideal,F,SI2,61.6,56.0,6.9,6.8,4.22,6250
128789,0.5,Good,E,VS2,59.6,61.0,5.22,5.25,3.11,1629
71107,1.01,Very Good,I,SI2,63.2,57.0,6.36,6.41,4.03,3635
145050,0.5,Good,F,VS2,63.7,55.0,5.06,5.09,3.23,1454
191010,0.41,Premium,D,VS1,60.9,58.0,4.77,4.8,2.92,1111
71229,1.01,Premium,E,I1,62.9,57.0,6.38,6.44,4.03,3791
117882,0.3,Premium,F,VS2,60.5,58.0,4.36,4.33,2.63,776
52772,0.32,Very Good,I,VVS1,63.3,55.0,4.4,4.36,2.77,756
54007,0.73,Premium,D,SI2,61.4,60.0,5.73,5.76,3.53,2706
93704,0.51,Ideal,F,VS2,61.6,55.0,5.22,5.17,3.19,1687
122589,0.5,Premium,E,VS1,60.2,59.0,5.14,5.09,3.08,1396
63895,0.7,Good,F,VS2,64.3,61.0,5.56,5.47,3.54,2805
135497,0.51,Good,E,SI1,63.4,56.0,5.1,5.07,3.23,1370
12179,0.9,Very Good,J,SI1,61.6,61.0,6.17,6.21,3.81,3119
182089,0.5,Very Good,F,SI1,63.5,56.0,5.02,5.05,3.2,1223
112248,1.22,Ideal,G,SI2,62.2,56.0,6.85,6.8,4.24,7044
94174,1.22,Ideal,G,VVS2,61.4,56.0,6.88,6.84,4.2,10742
101266,1.5,Very Good,E,SI1,61.9,59.0,7.31,7.38,4.54,11175
20181,0.31,Ideal,G,VS2,62.2,54.0,4.34,4.38,2.71,507
36232,1.17,Very Good,I,VS2,61.6,58.0,6.73,6.75,4.15,5756
181237,0.32,Ideal,F,SI1,61.6,55.0,4.42,4.45,2.73,641
163674,1.03,Premium,H,SI1,62.0,58.0,6.47,6.5,4.01,4619
30941,0.9,Premium,G,VS2,61.8,61.0,6.13,6.11,3.79,3749
124632,0.4,Ideal,G,VS2,61.4,55.0,4.74,4.79,2.93,797
90558,1.09,Ideal,H,SI1,62.1,56.0,6.58,6.63,4.1,5129
163552,1.52,Ideal,G,SI1,61.3,57.0,7.4,7.45,4.53,11510
161658,0.52,Premium,G,VS1,59.2,62.0,5.38,5.16,3.1,1815
132589,1.01,Premium,G,SI1,62.3,59.0,6.39,6.41,3.99,4666
184628,0.5,Premium,G,SI1,62.9,59.0,5.1,5.07,3.2,1153
73369,0.82,Ideal,F,SI1,61.8,56.0,5.97,6.02,3.7,3171
68276,0.51,Ideal,G,VS1,61.6,56.0,5.17,5.15,3.18,1781
109849,0.32,Ideal,H,VS2,61.9,56.0,4.36,4.34,2.69,648
48278,0.42,Premium,I,IF,61.5,58.0,4.79,4.83,2.96,914
117690,0.9,Good,H,VS2,57.9,63.0,6.34,6.3,3.66,3808
3205,0.32,Ideal,G,VS1,62.2,54.0,4.42,4.38,2.74,900
73859,1.21,Ideal,I,VS2,62.1,56.0,6.82,6.86,4.25,6455
43499,0.3,Ideal,G,VVS1,62.0,55.0,4.3,4.35,2.68,789
119314,1.5,Premium,I,SI2,62.3,58.0,7.23,7.31,4.55,7333
77776,1.14,Ideal,G,VS1,62.5,57.0,6.65,6.7,4.17,8411
165935,2.06,Very Good,H,SI1,60.8,59.0,8.22,8.31,5.01,18242
8838,1.01,Very Good,H,SI1,60.8,60.0,6.42,6.47,3.92,4782
102187,0.72,Very Good,E,SI1,62.8,59.0,5.68,5.74,3.58,2874
39778,1.05,Ideal,D,SI1,62.3,55.0,6.54,6.5,4.06,6153
27772,1.04,Ideal,G,VS1,61.1,56.0,6.49,6.61,4.0,6819
140414,0.37,Premium,E,VS2,60.7,59.0,4.62,4.65,2.82,834
74033,0.3,Very Good,G,SI1,61.8,62.0,4.27,4.3,2.65,449
32441,0.35,Ideal,G,IF,62.3,55.0,4.49,4.52,2.81,984
23635,0.5,Very Good,F,VS1,61.9,61.0,5.07,5.1,3.14,1618
3519,1.21,Ideal,G,VS1,62.3,58.0,6.84,6.79,4.23,9502
66900,0.53,Ideal,E,SI1,59.8,56.0,5.28,5.24,3.14,1340
13928,0.81,Ideal,E,VS2,62.0,55.0,5.99,5.94,3.72,3442
124432,0.41,Good,G,VS2,63.8,57.0,4.64,4.68,2.98,1061
74452,0.24,Ideal,G,VVS1,61.0,56.0,4.05,4.07,2.48,552
35582,1.02,Premium,F,VS2,61.0,58.0,6.45,6.41,3.92,5924
36553,0.23,Very Good,E,VVS2,62.6,58.0,3.88,3.92,2.43,633
104681,0.31,Ideal,F,VVS1,61.1,55.0,4.37,4.4,2.68,893
144173,0.7,Premium,G,SI1,63.0,59.0,5.59,5.65,3.54,2394
123910,2.01,Very Good,I,SI2,63.0,56.0,8.0,7.93,5.02,13655
57243,0.57,Premium,E,VS1,61.3,58.0,5.39,5.34,3.29,2346
102700,1.51,Good,E,SI1,63.6,58.0,7.25,7.29,4.62,9475
11833,1.5,Premium,H,SI1,63.0,58.0,7.28,7.24,4.57,10618
179298,0.31,Very Good,D,SI1,62.2,55.0,4.31,4.33,2.69,571
158205,0.52,Ideal,G,VS1,61.8,55.0,5.16,5.2,3.2,1621
124347,1.21,Ideal,I,SI2,61.7,57.0,6.83,6.88,4.23,5201
148636,1.22,Premium,E,VVS2,60.2,57.0,6.97,6.93,4.19,10888
191132,0.51,Very Good,G,SI2,60.1,62.0,5.2,5.24,3.14,1043
70046,0.33,Premium,E,SI1,59.0,58.0,4.49,4.47,2.66,788
84461,0.42,Very Good,E,VS1,60.9,57.0,4.86,4.88,2.96,1105
173772,0.41,Ideal,E,VS1,61.6,56.0,4.8,4.75,2.94,1079
129829,1.0,Premium,H,VS2,59.3,61.0,6.53,6.45,3.86,5522
189480,0.3,Ideal,E,VS2,62.6,56.0,4.3,4.33,2.7,626
4083,0.31,Ideal,D,VS2,61.4,56.0,4.34,4.37,2.68,504
45259,0.26,Very Good,G,VVS2,59.5,60.0,4.12,4.16,2.48,478
134577,0.51,Ideal,E,VS1,61.9,58.0,5.12,5.08,3.16,1923
50779,2.08,Premium,H,SI1,58.2,60.0,8.4,8.45,4.96,15941
131319,0.85,Good,G,VS2,64.2,58.0,6.05,6.0,3.87,2797
179472,1.01,Very Good,G,SI2,62.8,58.0,6.35,6.39,4.0,4101
98124,0.71,Ideal,G,SI1,61.8,56.0,5.71,5.76,3.54,2262
186181,0.24,Very Good,H,VVS2,63.0,55.0,3.98,4.01,2.5,396
192935,0.32,Ideal,E,VS2,61.4,56.0,4.42,4.4,2.71,900
177828,0.71,Premium,D,SI1,62.3,62.0,5.66,5.67,3.53,2822
140361,1.52,Ideal,I,VVS2,61.7,55.0,7.37,7.41,4.56,10821
100907,0.25,Ideal,F,VS2,62.5,55.0,4.06,4.09,2.54,431
49340,1.51,Good,G,SI2,63.3,59.0,7.24,7.2,4.57,7992
99162,0.32,Ideal,E,VS1,61.9,54.0,4.42,4.38,2.72,972
154076,1.0,Very Good,D,SI1,63.4,60.0,6.31,6.38,4.01,6344
84943,0.5,Ideal,D,VS1,61.9,53.0,5.11,5.15,3.17,1893
4173,0.32,Premium,D,VS2,61.9,59.0,4.37,4.41,2.71,718
107219,1.07,Fair,E,SI1,66.0,57.0,6.3,6.23,4.14,4759
89712,0.3,Very Good,J,VS2,62.9,58.0,4.27,4.23,2.67,394
185884,0.72,Premium,I,SI1,62.4,56.0,5.79,5.75,3.6,2316
95033,0.33,Ideal,F,SI2,62.1,55.0,4.44,4.48,2.77,572
128872,0.73,Very Good,G,SI2,62.1,56.0,5.8,5.74,3.59,2003
128277,2.02,Ideal,I,SI2,61.8,56.0,8.15,8.2,5.04,14408
82025,1.1,Ideal,H,VS1,62.2,56.0,6.64,6.59,4.11,6737
181043,0.72,Very Good,F,SI1,61.5,59.0,5.76,5.79,3.55,2401
122025,0.7,Very Good,G,VVS1,59.3,63.0,5.73,5.7,3.41,2822
140093,0.72,Premium,E,SI2,62.9,57.0,5.7,5.73,3.59,2393
49194,0.32,Ideal,H,IF,61.9,55.0,4.4,4.43,2.73,959
70638,0.71,Good,I,VS2,63.3,55.0,5.59,5.64,3.55,2319
163014,1.0,Good,F,SI2,63.8,59.0,6.34,6.3,4.03,4365
66098,2.39,Premium,I,SI2,60.6,59.0,8.68,8.65,5.21,11195
133349,0.38,Ideal,F,VVS1,61.5,55.0,4.68,4.71,2.89,1171
135265,0.5,Premium,D,VS1,62.4,58.0,5.03,5.07,3.15,1710
149982,2.12,Ideal,I,VS2,61.9,57.0,8.27,8.21,5.08,17184
186187,0.3,Good,E,VS2,63.8,55.0,4.28,4.24,2.72,844
60136,0.34,Ideal,G,VS2,61.2,55.0,4.52,4.55,2.78,765
177062,1.01,Ideal,D,VS2,61.4,57.0,6.46,6.49,3.98,8687
131875,0.4,Ideal,G,SI1,62.1,55.0,4.72,4.74,2.93,884
49054,0.51,Ideal,E,SI1,62.4,53.0,5.1,5.12,3.2,1400
189463,0.9,Premium,E,SI1,61.4,59.0,6.19,6.14,3.78,4222
126311,1.16,Ideal,G,IF,62.0,58.0,6.72,6.76,4.18,10084
186786,1.7,Premium,I,VS2,62.8,59.0,7.56,7.61,4.77,11108
50793,0.54,Premium,G,VS1,62.4,58.0,5.24,5.2,3.25,1723
126459,0.57,Premium,E,SI1,61.0,57.0,5.33,5.3,3.25,1688
57817,0.31,Ideal,H,VS2,61.9,57.0,4.33,4.37,2.69,424
102103,0.52,Ideal,G,SI1,62.3,55.0,5.15,5.2,3.22,1354
152017,0.34,Ideal,G,VS2,62.0,55.0,4.46,4.49,2.77,596
110540,1.53,Very Good,I,IF,62.8,59.0,7.31,7.37,4.6,11156
133682,0.73,Very Good,G,VS2,63.1,56.0,5.75,5.68,3.62,2789
135741,0.54,Ideal,E,VS2,61.9,55.0,5.26,5.23,3.25,1845
181796,0.7,Good,I,VS1,65.1,56.0,5.51,5.54,3.61,1773
181462,0.51,Ideal,F,SI1,62.0,54.0,5.14,5.17,3.19,1260
113864,0.43,Premium,G,VS1,61.9,55.0,4.86,4.83,3.0,1129
71975,1.11,Ideal,H,SI2,62.6,55.0,6.65,6.58,4.14,4578
190908,0.5,Good,F,VS2,63.3,58.0,5.04,5.08,3.21,1436
144492,0.54,Very Good,H,SI1,62.3,58.0,5.15,5.24,3.24,1154
153588,1.0,Premium,E,SI1,62.1,61.0,6.34,6.37,3.95,4830
170040,0.32,Ideal,G,VVS1,62.0,56.0,4.39,4.39,2.72,1080
33954,0.29,Ideal,I,SI1,62.0,55.0,4.23,4.27,2.63,364
62839,1.53,Ideal,H,SI1,61.7,56.0,7.37,7.44,4.56,9526
23028,0.73,Ideal,E,VS2,61.4,55.0,5.77,5.82,3.56,3437
129787,0.31,Premium,G,SI1,62.9,58.0,4.28,4.31,2.7,507
68941,2.11,Ideal,D,SI2,61.8,55.0,8.19,8.23,5.07,16558
61214,0.9,Ideal,G,SI2,61.8,57.0,6.15,6.17,3.81,3461
133968,1.01,Premium,H,SI1,61.3,58.0,6.47,6.44,3.94,4288
125731,0.31,Very Good,G,VS1,62.3,57.0,4.32,4.31,2.69,644
69514,0.71,Very Good,D,VS1,60.0,58.0,5.8,5.85,3.49,3379
13186,0.39,Premium,I,VS1,60.0,58.0,4.7,4.76,2.84,703
110457,1.08,Very Good,H,VS1,62.5,58.0,6.52,6.56,4.1,6546
40592,1.5,Premium,H,SI2,62.8,58.0,7.31,7.26,4.55,7732
39402,1.02,Ideal,G,SI2,61.8,56.0,6.46,6.43,3.98,4446
64272,0.71,Very Good,F,SI2,62.0,55.0,5.71,5.77,3.56,2264
42290,1.07,Premium,E,SI1,60.2,58.0,6.65,6.56,3.99,5335
64050,0.36,Premium,D,SI1,62.0,58.0,4.55,4.58,2.83,851
135934,0.7,Good,D,SI1,63.7,59.0,5.59,5.63,3.58,2732
114538,0.36,Ideal,H,SI1,62.0,55.0,4.56,4.61,2.85,647
3015,1.01,Very Good,F,SI2,62.9,58.0,6.35,6.39,4.01,4065
87252,1.08,Ideal,G,SI1,61.9,57.0,6.55,6.6,4.08,5028
108967,0.7,Good,D,SI1,63.3,57.0,5.64,5.57,3.55,2588
123355,0.32,Ideal,F,VS2,62.3,55.0,4.41,4.38,2.73,645
23767,0.5,Ideal,E,VS2,61.7,54.0,5.11,5.15,3.17,1758
61523,1.0,Very Good,D,SI1,62.5,56.0,6.37,6.42,4.0,5789
66615,1.05,Premium,H,VS2,62.8,59.0,6.45,6.43,4.05,5294
178650,0.33,Ideal,H,SI1,61.8,56.0,4.42,4.45,2.74,445
32618,0.58,Ideal,F,VS1,61.5,56.0,5.38,5.44,3.32,2160
51947,0.6,Ideal,E,VS1,61.6,56.0,5.44,5.4,3.33,2088
98283,0.5,Very Good,E,SI1,63.1,59.0,5.05,5.1,3.2,1207
33108,0.72,Ideal,H,IF,61.9,56.0,5.73,5.76,3.55,3377
64474,1.72,Premium,G,VS2,60.1,60.0,7.79,7.85,4.68,15147
164939,1.02,Ideal,G,VS2,59.7,57.0,6.51,6.56,3.9,6409
88593,0.71,Very Good,J,SI1,63.6,56.0,5.64,5.7,3.6,1907
161755,1.04,Premium,E,SI1,62.7,59.0,6.46,6.42,4.04,5255
14004,0.36,Premium,J,VS1,62.3,58.0,4.57,4.52,2.83,557
124664,0.35,Ideal,D,VS2,61.7,56.0,4.58,4.54,2.82,863
120559,0.24,Very Good,D,VVS2,61.1,59.0,3.98,4.01,2.44,471
172707,0.33,Ideal,D,SI2,60.9,56.0,4.49,4.46,2.73,631
137077,0.31,Ideal,E,VS2,62.0,55.0,4.34,4.37,2.7,680
163970,1.51,Very Good,D,SI1,63.2,59.0,7.27,7.32,4.62,11477
101796,1.01,Good,E,SI2,63.2,57.0,6.39,6.35,4.03,4562
30050,0.55,Ideal,D,VS1,61.6,56.0,5.27,5.3,3.25,1990
139104,1.02,Very Good,F,VVS1,60.2,56.0,6.53,6.57,3.94,9972
153055,0.9,Ideal,E,SI1,60.9,57.0,6.13,6.18,3.75,4155
3491,0.31,Ideal,D,SI1,61.9,55.0,4.36,4.39,2.71,692
96605,0.36,Premium,E,SI1,59.7,58.0,4.62,4.59,2.75,770
11940,0.8,Ideal,E,VS2,61.0,56.0,6.03,6.0,3.67,4081
57850,0.53,Ideal,E,VS2,61.2,56.0,5.18,5.22,3.18,1715
166632,0.38,Ideal,F,VVS1,62.3,56.0,4.66,4.63,2.89,1111
